id,category_ids,title,badge,badge_label,image_url,rating,reviews,price,original_price,affiliate_link,is_recommended,is_new,is_bestseller
42,"beds,cats,dogs","מיטת חיות מחמד עגולה 40-90 ס""מ רכה מאוד מיטת חתול בית כלב חם",top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S6eb082fa1c6f405c83fd15aa6169258dd.png,4.58,12086,39.03,78.05,https://s.click.aliexpress.com/e/_c4PjccMv,yes,no,yes
43,"beds,cats,dogs",מחצלת חמוד לכלב קטן שימוש דו צדדי חורף חם חתול ספה סוודיק גור,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/Sa1960be9a19047aca8c95a79fbcc292eS.jpg,4.9,4136,18.73,38.23,https://s.click.aliexpress.com/e/_c45zyz4V,yes,no,yes
44,"collars,dogs",קולר כלב זוהר LED עם 3 מצבים - USB נטען נגד אבדן,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Se8c8349e48ed4d5987e1eac04cf22a41c.jpg,4.44,2931,19.90,58.54,https://s.click.aliexpress.com/e/_c3fIkN5P,yes,no,yes
45,"collars,dogs",קולר כלב סיבים אופטיים LED זוהר - נטען USB נגד אבדן,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S24f62ac1f3ef4d0baedc78695e9d854d1.jpg,4.9,3472,19.19,38.38,https://s.click.aliexpress.com/e/_c3rATBgV,yes,no,yes
46,"collars,dogs",קולר כלב LED חדש נטען USB - 3 מצבים מתכוונן לילה בטיחות,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Se7bcb67af54e4606b431deb64d021424f.jpg,4.9,6458,33.45,66.89,https://s.click.aliexpress.com/e/_c3FACnpf,yes,no,yes
47,"collars,dogs,cats",רתם רשת מתכוונן לחתולים וכלבים קטנים עם רצועה הליכה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S796fb4ef3c604625b2a885111dd7569aR.jpg,4.9,16452,13.89,28.94,https://s.click.aliexpress.com/e/_c3WbBslF,yes,no,yes
48,"collars,dogs,cats",קולר עם פעמון עיצוב כפות רגליים צבעוני לכלבים וחתולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S00a0627a87b94e6bbf9c0f985fe7b77b8.jpg,4.8,4048,10.83,24.54,https://s.click.aliexpress.com/e/_c2J2tToV,yes,no,yes
49,"collars,dogs",קולר כלב זוהר LED 3 מצבים USB נטען - מניעת אבדן בלילה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S2e36d6b37e544dd4b6cd9b6c7fe2fb280.jpg,4.9,8816,18.44,39.24,https://s.click.aliexpress.com/e/_c4dtVbav,yes,no,yes
50,"collars,dogs",קולר ניילון איכותי לכלבים קטנים בינוניים וגדולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/HTB1lWHqNY2pK1RjSZFsq6yNlXXaX.jpg,4.58,3086,7.46,7.67,https://s.click.aliexpress.com/e/_c3JtEESd,yes,no,yes
51,"collars,dogs",קולר עור PU סטייל פאנק עם קסמי כפות - אביזר לחיות מחמד,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S1f3e27721dad4de7a3ed1169b023c33f2.jpg,4.9,3298,16.07,32.14,https://s.click.aliexpress.com/e/_c38OtF9P,yes,no,yes
52,"costumes,dogs,cats",תחפושת עטלף שחור לחתולים וכלבים - קוספליי כנפיים מסיבה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sa4a552dd0e974e06b96eb437c7842763S.jpg,4.74,2221,15.81,31.63,https://s.click.aliexpress.com/e/_c4My39Md,yes,no,yes
53,"costumes,dogs,cats",חליפת דבורה לכלבים וחתולים - הודי פליז לחגים וקוספליי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S0c7ef0c0f69543d9b3933e00c1200c50y.jpg,4.93,2003,16.70,33.41,https://s.click.aliexpress.com/e/_c2JjEhhB,yes,no,yes
56,"costumes,dogs,cats",בגדי האלווין מצחיקים לחתולים וכלבים - חליפת קוספליי חמה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sed9c41c14c834c4883a0faefbc53c9b5C.jpg,4.61,2005,23.19,70.27,https://s.click.aliexpress.com/e/_c3tNfGSV,yes,no,yes
57,"costumes,dogs",שמלת נסיכה אדומה לכלבים קטנים - תחפושת מסיבת חג,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Seaaa0c72ff57495e9dea75af4cab3d56J.jpg,4.9,975,17.33,34.66,https://s.click.aliexpress.com/e/_c3qdySwV,yes,no,yes
58,"costumes,dogs,cats",הודי דבורה לכלבים וחתולים - חליפת קוספליי לחורף וחגים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sc6028b2cb25441d7873422680ba863a6e.jpg,4.79,1896,18.47,39.30,https://s.click.aliexpress.com/e/_c3x3866V,yes,no,yes
59,"costumes,dogs,cats",תחפושת סנטה קלאוס לכלבים קטנים - חליפת חג המולד קוספליי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S64894c1b58db484192312b2a435f1edeN.jpg,4.36,2718,22.47,44.94,https://s.click.aliexpress.com/e/_c30Q91fF,yes,no,yes
60,"costumes,dogs,cats",הודי דבורה פליז לכלבים וחתולים - תחפושת האלווין קוספליי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S9e9c3a06dddb43a8b38a7f8af5e81bcel.jpg,4.7,1554,15.77,47.80,https://s.click.aliexpress.com/e/_c4oHBorR,yes,no,yes
61,"costumes,dogs",וסט חורף חם לבולדוג צרפתי - בגד פוג וצ'יוואווה לכלבים קטנים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S44755c256de7401caa59b9a3384a8bfeu.jpg,4.59,1179,12.60,12.60,https://s.click.aliexpress.com/e/_c2QoMV3L,yes,no,yes
62,"costumes,dogs,cats",הודי דבורה לכלבים וחתולים - תחפושת חגים חמה לחורף,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S03ab72e2624d4dfe961472e919457963z.jpg,4.9,2298,17.22,35.88,https://s.click.aliexpress.com/e/_c3bYnIvL,yes,no,yes
63,"costumes,dogs,cats",כובע פאת אריה לחתולים וכלבים - תחפושת קוספליי מצחיקה למסיבה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Se6528e55b4914b1f927ba537d6fbe570M.jpg,4.49,1049,16.94,49.82,https://s.click.aliexpress.com/e/_c3SetLLL,yes,no,yes
64,"grooming,dogs,cats",כפפות טיפוח לכלבים וחתולים - מסיר שיער וניקוי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S1ad72c3a5d8944c4a234cea3b121fa3ax.png,3.81,5362,12.44,25.78,https://s.click.aliexpress.com/e/_c2zfaLZf,yes,no,yes
65,"grooming,dogs,cats",מברשת טיפוח קיטור לכלבים - מברשת אדים יוקרתית,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sc843e38ad20345da80dca3de4192d74eU.jpg,4.9,3307,27.92,60.70,https://s.click.aliexpress.com/e/_c448s7Nr,yes,no,yes
66,"grooming,dogs,cats",4 כפפות מסירת שיער דו-צדדיות לכלבים וחתולים - רב פעמי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S2b5169ed91e540a492970dba3f61a4791.jpg,4.9,8569,11.92,23.85,https://s.click.aliexpress.com/e/_c3MCVhsN,yes,no,yes
67,"grooming,dogs,cats",מספריים מקצועיות לציפורני כלבים וחתולים - חיתוך מדויק,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S17bdbdd1198448478acd9ad37454c5c1w.jpg,4.76,3481,12.55,36.92,https://s.click.aliexpress.com/e/_c2u2YxoN,yes,no,yes
68,"grooming,dogs,cats",מספריים נירוסטה לציפורני כלב חתול - ידית ישרה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S63fd5e26e57f4361b0cc1cf84a9554eck.jpg,4.9,2212,14.25,29.69,https://s.click.aliexpress.com/e/_c3Xbqglb,yes,no,yes
69,"grooming,dogs,cats",כפפת טיפוח וניקוי לרחצת כלבים וחתולים - ספוג סיליקון,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S4cb4888d35ec47169f4fdde4cb4fad107.jpg,4.7,3836,18.37,61.42,https://s.click.aliexpress.com/e/_c3dltwdb,yes,no,yes
70,"grooming,dogs,cats",כפפות אנטי-סטטיות למסירת שיער כלבים וחתולים - רב שטחי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sa78937b819ca47e3829658b9c6d7dde8i.jpg,4.15,5783,11.00,11.00,https://s.click.aliexpress.com/e/_c4qJAOjJ,yes,no,yes
71,"grooming,dogs,cats",מספריים ציפורניים מקצועיות עם תאורת LED לכלבים וחתולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sdd1c812f3623468b8c6419d8ac43148bZ.jpg,4.78,8710,23.48,71.17,https://s.click.aliexpress.com/e/_c3PtXOLn,yes,no,yes
72,"grooming,dogs,cats",4 מספריים נירוסטה לטיפוח כלבים - ראש עגול בטיחותי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S7596697c70354efa97c9b2ee44680855Y.jpg,4.64,2081,34.38,73.14,https://s.click.aliexpress.com/e/_c3e3djf3,yes,no,yes
73,"grooming,dogs,cats",סכין הסרת שיער ופקעות לכלבים וחתולים - נירוסטה בטיחותי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S84cd7496ec074d4ea2759dd93f8b5470R.jpg,4.9,1953,10.44,22.22,https://s.click.aliexpress.com/e/_c32308oD,yes,no,yes
74,"grooming,dogs,cats",מלקחיים להסרת פרעושים וקרציות מכלבים וחתולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Se9a8e547ac5e42439d7b3e802ef93c4ea.png,4.9,2261,11.85,23.70,https://s.click.aliexpress.com/e/_c3GDNSsD,yes,no,yes
75,"grooming,dogs,cats",מספריים ציפורניים מקצועיות LED פרימיום לכלבים וחתולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S711e816656f847f7a7bb1db26fe7c118N.jpg,4.9,2279,47.01,94.02,https://s.click.aliexpress.com/e/_c3plGiTJ,yes,no,yes
76,"grooming,dogs,cats",גוזז שיער חשמלי מקצועי נטען USB לכלבים וחתולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S0355972629674844871d79244c982e9dM.jpg,4.4,2905,33.60,102.26,https://s.click.aliexpress.com/e/_c3COLXBj,yes,no,yes
77,"grooming,dogs,cats",כפפת הסרת שיער אלקטרוסטטית רחיצה 2 ב-1 לכלבים וחתולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S1fe3419078694d32ad5f2d048ff26e8cN.png,4.79,2968,29.85,39.49,https://s.click.aliexpress.com/e/_c3Bsf9LT,yes,no,yes
78,"grooming,dogs,cats",מברשת וסרק לכלבים וחתולים - הסרת שיער ועיסוי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S18d5a3087b264ab7baaa12dd12707ecdX.jpg,4.9,2134,34.61,75.24,https://s.click.aliexpress.com/e/_c3DUB0id,yes,no,yes
79,"grooming,dogs,cats",כפפת הסרת שיער דו-צדדית אנטי-סטטית רחיצה לכלבים וחתולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S621ee64eadf444369ad9794b9a0f47f9K.jpg,4.4,2057,11.14,24.76,https://s.click.aliexpress.com/e/_c3hyBARX,yes,no,yes
80,"grooming,dogs,cats",גוזז שיער חשמלי לכלבים חתולים וארנבים - מספריים חשמליות,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S4643836705894d04ac218e8586974130v.jpg,4.55,2721,39.41,83.85,https://s.click.aliexpress.com/e/_c4PXD6px,yes,no,yes
81,"grooming,dogs,cats",אטמי אוזניים עמידים למים לכלבים - הרגעת חרדה ורעש,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S4284c871b0544d6ebd4e98e649e7d39f3.jpg,4.49,2352,17.92,38.14,https://s.click.aliexpress.com/e/_c41iPNYN,yes,no,yes
82,"grooming,dogs,cats",כפפת סרק ועיסוי לכלבים וחתולים - הסרת שיער עדינה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sdd1513d36261465ba99e6da9ad12e22dk.jpg,4.63,7761,9.73,9.99,https://s.click.aliexpress.com/e/_c3jbhY7J,yes,no,yes
83,"grooming,dogs,cats",סרק הסרת שיער בלחיצה אחת לכלבים וחתולים - ניקוי אוטומטי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S093a189d7f914312a7def4d092ba1eb4J.jpg,4.78,6083,17.23,50.67,https://s.click.aliexpress.com/e/_c4DhX8Yh,yes,no,yes
86,"toys,dogs",צעצוע לעיסה לגורים - מקל בצורת עצם עם מתקן מזון לניקוי שיניים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S5b2c3bb5f2514d9c85e237a6e66cae225.jpg,4.9,2245,47.81,95.62,https://s.click.aliexpress.com/e/_c31eHsAN,yes,no,yes
87,"toys,dogs",סט 4 צעצועי כלב - דיסק + כדור + חבל משיכה + ניקוי שיניים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sf46ea7770ee3474bb374baa7d8332de1e.jpg,4.77,3007,62.52,64.93,https://s.click.aliexpress.com/e/_c2RMo5yz,yes,no,yes
88,"toys,dogs",6 כדורי גומי צועקניים אינטראקטיביים לכלבים - עמידים לנשיכה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sf8f4418328be4b1d88af68c0e1b37c0ei.jpg,4.9,1302,44.28,100.63,https://s.click.aliexpress.com/e/_c41qtMyD,yes,no,yes
89,"toys,cats,dogs",מיטת סופגנייה מלבדה לחתולים עם מנהרה - 2 ב-1 מחבוא ומיטה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sa861daa91fac4a5f918ef7fdfb50fc10h.png,4.9,2443,70.91,141.81,https://s.click.aliexpress.com/e/_c3jMSXhf,yes,no,yes
90,"toys,dogs",כדור כדורגל צועקני לכלבים - צעצוע אינטראקטיבי לגזעים גדולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S548a7c9f8b914648908c58ec586cf2d59.jpg,4.9,1653,57.99,115.99,https://s.click.aliexpress.com/e/_c3wMyevj,yes,no,yes
91,"toys,dogs",צעצוע קפיצה אוטומטי לכלבים - קטיפה צועקנית ומדברת אינטראקטיבי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S9d2dd90e5e4d476a96056d05ef6ea907s.jpg,4.72,590,41.11,117.46,https://s.click.aliexpress.com/e/_c4aZKQSd,yes,no,yes
